date,venue,inning,team,target,over_1,over_2,over_3,over_4,over_5,over_6,runs,wickets
07/10/2020,Sheikh Zayed Stadium,2,Chennai Super Kings,167,6,12,7,7,9,13,54,1
08/10/2020,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,0,13,6,7,15,11,6,58,0
08/10/2020,Dubai International Cricket Stadium,2,Kings XI Punjab,201,9,5,6,7,10,8,45,2
09/10/2020,Sharjah Cricket Stadium,1,Delhi Capitals,0,7,6,18,7,5,8,51,3
09/10/2020,Sharjah Cricket Stadium,2,Rajasthan Royals,184,10,3,3,14,3,8,41,1
10/10/2020,Sheikh Zayed Stadium,1,Kolkata Knight Riders,0,7,0,6,2,4,6,25,2
10/10/2020,Sheikh Zayed Stadium,2,Kings XI Punjab,164,3,5,6,14,8,11,47,0
10/10/2020,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,0,2,9,4,6,4,11,36,1
10/10/2020,Dubai International Cricket Stadium,2,Chennai Super Kings,169,4,2,7,6,2,5,26,2
11/10/2020,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,0,2,3,1,7,10,3,26,1
11/10/2020,Dubai International Cricket Stadium,2,Rajasthan Royals,158,6,4,4,12,10,0,36,3
11/10/2020,Sheikh Zayed Stadium,1,Delhi Capitals,0,7,10,5,1,9,14,46,2
11/10/2020,Sheikh Zayed Stadium,2,Mumbai Indians,162,3,4,5,12,7,13,44,1
12/10/2020,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,0,8,11,8,10,4,6,47,0
12/10/2020,Sharjah Cricket Stadium,2,Kolkata Knight Riders,194,7,5,4,7,16,4,43,1
13/10/2020,Dubai International Cricket Stadium,1,Chennai Super Kings,0,3,7,2,22,5,5,44,2
13/10/2020,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,167,4,6,11,6,7,6,40,2
14/10/2020,Dubai International Cricket Stadium,1,Delhi Capitals,0,3,7,2,8,13,14,47,2
14/10/2020,Dubai International Cricket Stadium,2,Rajasthan Royals,161,10,11,16,3,3,7,50,2
15/10/2020,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,0,8,10,9,11,11,8,57,1
15/10/2020,Sharjah Cricket Stadium,2,Kings XI Punjab,171,1,4,13,15,13,10,56,0
16/10/2020,Sheikh Zayed Stadium,1,Kolkata Knight Riders,0,3,9,6,7,3,5,33,2
16/10/2020,Sheikh Zayed Stadium,2,Mumbai Indians,148,7,9,14,9,9,3,51,0
17/10/2020,Sharjah Cricket Stadium,1,Chennai Super Kings,0,2,0,10,3,14,10,39,1
17/10/2020,Sharjah Cricket Stadium,2,Delhi Capitals,179,0,8,10,8,3,12,41,2
17/10/2020,Dubai International Cricket Stadium,1,Rajasthan Royals,0,2,3,16,17,9,5,52,1
17/10/2020,Dubai International Cricket Stadium,2,Royal Challengers Bangalore,177,4,5,13,5,12,8,47,1
18/10/2020,Sheikh Zayed Stadium,1,Kolkata Knight Riders,0,6,6,3,13,14,6,48,1
18/10/2020,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,163,2,10,10,13,11,12,58,0
18/10/2020,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,163,2,0,0,0,0,0,2,2
18/10/2020,Sheikh Zayed Stadium,2,Kolkata Knight Riders,163,3,0,0,0,0,0,3,0
18/10/2020,Dubai International Cricket Stadium,1,Mumbai Indians,0,6,9,9,6,8,5,43,3
18/10/2020,Dubai International Cricket Stadium,2,Kings XI Punjab,176,9,4,20,1,6,11,51,1
18/10/2020,Dubai International Cricket Stadium,2,Kings XI Punjab,176,5,0,0,0,0,0,5,2
18/10/2020,Dubai International Cricket Stadium,2,Mumbai Indians,176,5,0,0,0,0,0,5,1
18/10/2020,Dubai International Cricket Stadium,2,Mumbai Indians,176,11,0,0,0,0,0,11,1
18/10/2020,Dubai International Cricket Stadium,2,Kings XI Punjab,176,15,0,0,0,0,0,15,0
19/10/2020,Sheikh Zayed Stadium,1,Chennai Super Kings,0,2,8,3,13,15,2,43,2
19/10/2020,Sheikh Zayed Stadium,2,Rajasthan Royals,125,10,10,6,2,0,3,31,3
20/10/2020,Dubai International Cricket Stadium,1,Delhi Capitals,0,13,3,9,7,12,9,53,1
20/10/2020,Dubai International Cricket Stadium,2,Kings XI Punjab,164,8,5,6,5,26,7,57,3
21/10/2020,Sheikh Zayed Stadium,1,Kolkata Knight Riders,0,3,0,10,1,1,2,17,4
21/10/2020,Sheikh Zayed Stadium,2,Royal Challengers Bangalore,84,4,4,7,13,9,7,44,0
22/10/2020,Dubai International Cricket Stadium,1,Rajasthan Royals,0,3,6,13,11,10,4,47,1
22/10/2020,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,154,4,11,1,11,13,18,58,2
23/10/2020,Sharjah Cricket Stadium,1,Chennai Super Kings,0,0,3,2,13,3,3,24,5
23/10/2020,Sharjah Cricket Stadium,2,Mumbai Indians,114,8,9,5,8,17,5,52,0
24/10/2020,Sheikh Zayed Stadium,1,Kolkata Knight Riders,0,8,3,5,6,7,7,36,2
24/10/2020,Sheikh Zayed Stadium,2,Delhi Capitals,194,4,8,1,8,12,3,36,2
24/10/2020,Dubai International Cricket Stadium,1,Kings XI Punjab,0,5,4,4,11,13,10,47,1
24/10/2020,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,126,11,11,7,5,10,8,52,0
25/10/2020,Sheikh Zayed Stadium,1,Mumbai Indians,0,10,10,1,13,11,14,59,1
25/10/2020,Sheikh Zayed Stadium,2,Rajasthan Royals,195,5,8,16,12,4,10,55,2
25/10/2020,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,0,11,7,8,5,7,8,46,1
25/10/2020,Dubai International Cricket Stadium,2,Chennai Super Kings,145,1,13,11,15,6,2,48,1
26/10/2020,Sharjah Cricket Stadium,1,Kolkata Knight Riders,0,9,1,8,5,10,21,54,3
26/10/2020,Sharjah Cricket Stadium,2,Kings XI Punjab,149,5,4,2,10,13,2,36,0
27/10/2020,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,0,5,15,13,13,9,22,77,0
27/10/2020,Dubai International Cricket Stadium,2,Delhi Capitals,219,6,8,4,6,10,20,54,2
28/10/2020,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,0,5,5,12,10,10,12,54,0
28/10/2020,Sheikh Zayed Stadium,2,Mumbai Indians,164,5,10,6,10,5,9,45,1
29/10/2020,Dubai International Cricket Stadium,1,Kolkata Knight Riders,0,13,3,7,5,5,15,48,0
29/10/2020,Dubai International Cricket Stadium,2,Chennai Super Kings,172,2,7,14,5,9,7,44,0
30/10/2020,Sheikh Zayed Stadium,1,Kings XI Punjab,0,1,8,5,11,14,14,53,1
30/10/2020,Sheikh Zayed Stadium,2,Rajasthan Royals,185,9,12,11,16,6,12,66,1
31/10/2020,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,0,3,5,5,11,5,1,30,2
31/10/2020,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,120,4,7,11,9,15,12,58,1
31/10/2020,Dubai International Cricket Stadium,1,Delhi Capitals,0,1,6,8,3,1,3,22,2
31/10/2020,Dubai International Cricket Stadium,2,Mumbai Indians,110,2,5,3,13,4,11,38,0
01/11/2020,Sheikh Zayed Stadium,1,Kings XI Punjab,0,10,4,9,11,10,9,53,1
01/11/2020,Sheikh Zayed Stadium,2,Chennai Super Kings,153,6,5,11,10,12,13,57,0
01/11/2020,Dubai International Cricket Stadium,1,Kolkata Knight Riders,0,1,12,2,17,11,12,55,1
01/11/2020,Dubai International Cricket Stadium,2,Rajasthan Royals,191,19,8,5,0,5,4,41,5
02/11/2020,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,0,4,6,6,9,6,9,40,1
02/11/2020,Sheikh Zayed Stadium,2,Delhi Capitals,152,11,8,9,6,8,11,53,1
03/11/2020,Sharjah Cricket Stadium,1,Mumbai Indians,0,5,5,6,7,16,9,48,2
03/11/2020,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,149,3,11,10,16,9,7,56,0
05/11/2020,Dubai International Cricket Stadium,1,Mumbai Indians,0,15,7,9,12,9,11,63,1
05/11/2020,Dubai International Cricket Stadium,2,Delhi Capitals,200,0,6,9,5,5,7,32,4
06/11/2020,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,0,5,4,1,5,8,9,32,2
06/11/2020,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,131,2,2,9,10,12,13,48,2
08/11/2020,Sheikh Zayed Stadium,1,Delhi Capitals,0,3,8,10,18,11,15,65,0
08/11/2020,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,189,12,5,11,8,8,5,49,3
10/11/2020,Dubai International Cricket Stadium,1,Delhi Capitals,0,5,6,9,5,10,6,41,3
10/11/2020,Dubai International Cricket Stadium,2,Mumbai Indians,156,8,18,7,12,13,3,61,1
09/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",1,Mumbai Indians,0,5,1,6,12,6,11,41,1
09/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",2,Royal Challengers Bangalore,159,10,5,6,14,6,5,46,2
10/04/2021,"Wankhede Stadium, Mumbai",1,Chennai Super Kings,0,5,2,4,9,10,3,33,2
10/04/2021,"Wankhede Stadium, Mumbai",2,Delhi Capitals,188,9,7,8,17,17,7,65,0
11/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",1,Kolkata Knight Riders,0,4,9,6,14,12,5,50,0
11/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",2,Sunrisers Hyderabad,187,8,2,1,9,12,3,35,2
12/04/2021,"Wankhede Stadium, Mumbai",1,Punjab Kings,0,10,11,1,9,8,7,46,1
12/04/2021,"Wankhede Stadium, Mumbai",2,Rajasthan Royals,221,4,13,8,5,18,11,59,2
13/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",1,Mumbai Indians,0,3,7,14,4,9,5,42,1
13/04/2021,"MA Chidambaram Stadium, Chepauk, Chennai",2,Kolkata Knight Riders,152,4,4,11,9,4,13,45,0
